datetime,symbol,open,high,low,close,volume
2025-06-24 13:20:00,NASDAQ:AAPL,202.52,202.52,202.13,202.3,8484.0
2025-06-24 13:21:00,NASDAQ:AAPL,202.3,202.33,202.035,202.06,15564.0
2025-06-24 13:22:00,NASDAQ:AAPL,202.07,202.22,202.07,202.19,6875.0
2025-06-24 13:23:00,NASDAQ:AAPL,202.18,202.22,202.13,202.15,5733.0
2025-06-24 13:24:00,NASDAQ:AAPL,202.15,202.16,202.09,202.15,5047.0
2025-06-24 13:25:00,NASDAQ:AAPL,202.14,202.21,202.13,202.19,4504.0
2025-06-24 13:26:00,NASDAQ:AAPL,202.19,202.22,202.11,202.19,13918.0
2025-06-24 13:27:00,NASDAQ:AAPL,202.18,202.26,202.16,202.17,5235.0
2025-06-24 13:28:00,NASDAQ:AAPL,202.16,202.18,201.96,201.97,8978.0
2025-06-24 13:29:00,NASDAQ:AAPL,201.97,202.0,201.94,201.96,5953.0
2025-06-24 13:30:00,NASDAQ:AAPL,201.97,202.08,201.93,202.08,5573.0
2025-06-24 13:31:00,NASDAQ:AAPL,202.05,202.18,202.01,202.18,5610.0
2025-06-24 13:32:00,NASDAQ:AAPL,202.2,202.21,202.125,202.16,5865.0
2025-06-24 13:33:00,NASDAQ:AAPL,202.15,202.15,202.05,202.09,3041.0
2025-06-24 13:34:00,NASDAQ:AAPL,202.1,202.16,202.05,202.05,2144.0
2025-06-24 13:35:00,NASDAQ:AAPL,202.06,202.07,202.02,202.04,2322.0
2025-06-24 13:36:00,NASDAQ:AAPL,202.05,202.1,202.05,202.05,1501.0
2025-06-24 13:37:00,NASDAQ:AAPL,202.04,202.13,202.04,202.07,1995.0
2025-06-24 13:38:00,NASDAQ:AAPL,202.05,202.05,201.92,201.93,4663.0
2025-06-24 13:39:00,NASDAQ:AAPL,201.92,202.02,201.86,202.02,7825.0
2025-06-24 13:40:00,NASDAQ:AAPL,202.02,202.13,202.02,202.08,3974.0
2025-06-24 13:41:00,NASDAQ:AAPL,202.08,202.19,202.08,202.18,3054.0
2025-06-24 13:42:00,NASDAQ:AAPL,202.19,202.19,202.1,202.11,5515.0
2025-06-24 13:43:00,NASDAQ:AAPL,202.11,202.17,202.05,202.17,8143.0
2025-06-24 13:44:00,NASDAQ:AAPL,202.17,202.28,202.17,202.22,6680.0
2025-06-24 13:45:00,NASDAQ:AAPL,202.21,202.33,202.2,202.27,2539.0
2025-06-24 13:46:00,NASDAQ:AAPL,202.25,202.27,202.21,202.22,3230.0
2025-06-24 13:47:00,NASDAQ:AAPL,202.21,202.26,202.2,202.23,2180.0
2025-06-24 13:48:00,NASDAQ:AAPL,202.23,202.33,202.22,202.28,6537.0
2025-06-24 13:49:00,NASDAQ:AAPL,202.26,202.3,202.22,202.29,3828.0
2025-06-24 13:50:00,NASDAQ:AAPL,202.27,202.27,202.19,202.19,1423.0
2025-06-24 13:51:00,NASDAQ:AAPL,202.185,202.2,202.04,202.2,14563.0
2025-06-24 13:52:00,NASDAQ:AAPL,202.185,202.3,202.185,202.26,4870.0
2025-06-24 13:53:00,NASDAQ:AAPL,202.265,202.265,202.22,202.23,2798.0
2025-06-24 13:54:00,NASDAQ:AAPL,202.22,202.245,202.18,202.18,3490.0
2025-06-24 13:55:00,NASDAQ:AAPL,202.19,202.29,202.18,202.23,4121.0
2025-06-24 13:56:00,NASDAQ:AAPL,202.22,202.24,202.17,202.17,3609.0
2025-06-24 13:57:00,NASDAQ:AAPL,202.2,202.21,202.11,202.12,4489.0
2025-06-24 13:58:00,NASDAQ:AAPL,202.13,202.21,202.08,202.18,5026.0
2025-06-24 13:59:00,NASDAQ:AAPL,202.18,202.23,202.16,202.19,2469.0
2025-06-24 14:00:00,NASDAQ:AAPL,202.21,202.25,202.17,202.22,4956.0
2025-06-24 14:01:00,NASDAQ:AAPL,202.22,202.26,202.22,202.22,3251.0
2025-06-24 14:02:00,NASDAQ:AAPL,202.21,202.26,202.21,202.23,1847.0
2025-06-24 14:03:00,NASDAQ:AAPL,202.23,202.25,202.07,202.09,8165.0
2025-06-24 14:04:00,NASDAQ:AAPL,202.08,202.15,201.99,201.99,11116.0
2025-06-24 14:05:00,NASDAQ:AAPL,202.0,202.04,201.95,202.03,20396.0
2025-06-24 14:06:00,NASDAQ:AAPL,202.05,202.07,201.95,201.97,3592.0
2025-06-24 14:07:00,NASDAQ:AAPL,201.96,202.0,201.89,201.9,4782.0
2025-06-24 14:08:00,NASDAQ:AAPL,201.93,201.93,201.85,201.89,1011.0
2025-06-24 14:09:00,NASDAQ:AAPL,201.88,201.95,201.87,201.89,4091.0
2025-06-24 14:10:00,NASDAQ:AAPL,201.89,201.97,201.86,201.93,3524.0
2025-06-24 14:11:00,NASDAQ:AAPL,201.95,202.005,201.75,201.78,8047.0
2025-06-24 14:12:00,NASDAQ:AAPL,201.78,201.81,201.54,201.54,16291.0
2025-06-24 14:13:00,NASDAQ:AAPL,201.56,201.78,201.55,201.63,10355.0
2025-06-24 14:14:00,NASDAQ:AAPL,201.61,201.63,201.44,201.49,17832.0
